..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
9.A....5..C7,..7.81.C...5,5..36...1...,....A..167..,......7.5.4B,.8......A13C,8437......1.,65.2.A......,..192..4....,...4...92..A,C...3.67.B..,27..5....9.3
..7..4.BA.6.,..45.......1,.....9.1...4,.5132..8.C..,.98.A....B4.,..........85,38..........,.C6....A.85.,..A.C..369B.,2...3.9.....,6.......95..,.3.97.8..6..
3...B.7..A.4,2.B8........,...58..6.7.B,.A8257.....3,..6...A.5...,.9.......21.,.42.......3.,...1.A...4..,8.....47C5A.,A.3.1..86...,........38.2,7.5..B.4...A
2.1.......C7,46..7...A8..,...8..5A.6..,A.2C.64..9.3,..4......B..,.5..3.B.8...,...4.1.2..A.,..5......4..,C.B..46.15.9,..3.29..5...,..C2...3..76,89.......1.4
....8...7...,.8..7C1A..B.,7.C.5.6..2.9,.C46......82,.1......B3..,..8.9......5,4......5.A..,..97......2.,32......4C7.,5.1..7.4.8.A,.7..15C2..9.,...4...3....
..A..6...C..,.C9.5.1...B3,1.B...C.A...,4..6C..8...A,A....5....C2,.7..2....3.8,8.6....3..4.,75....9....B,3...8..29..1,...2.C...7.9,51...3.9.B8.,..3...6..4..
.5.9..8.3...,.A2.3..4...1,3...B7.C....,A....2...3..,..C7.8...9.2,.B9.A.1..7..,..5..3.1.42.,8.4...2.B6..,..3...C....A,....7.35...4,5...C..9.2B.,...C.4..5.9.
.B.A.8..3..9,..7...39.A1.,6.2..A..8..4,.64..5..1...,..5B6..8.C..,9....B.1....,....4.1....5,..3.B..A49..,...4..2..13.,7..C..4..5.3,.8B.93...4..,3..6..8.9.2.
.B...47...9.,41.C6..2..7.,..7.A..9....,...2..8..7..,..4..3.79..6,B9...52.31..,..1B.AC...34,C..A8.4..9..,..3..9..C...,....5..8.6..,.5..3..68.B9,.8...2B...5.
.45.9....8.3,...9.....1.2,B.A.....6..7,....B...4.85,.3..6.7...1.,....428.97A.,.6C7.954....,.A...8.1..5.,58.B...C....,A..6.....9.4,3.B.....5...,7.8....B.A2.
...5.B...7.6,.....93...8B,1...C...54.2,.39.B.C84...,.......9B.68,..B..7...3..,..6...2..5..,47.C6.......,...2A4.7.BC.,C.A1...3...9,75...21.....,3.4...9.A...
..7...98C1..,.C...2.....5,.6...C....A3,...29.63.4B.,.A......9.8.,..C4.8.B...6,4...A.5.72..,.2.5......9.,.9B.43.CA...,A1....3...7.,5.....B...1.,..2671...5..
85.......1..,1..3.5.8...2,2A6...B9....,57.C.1..68..,.....C6.....,62.......41.,.8C.......27,.....65.....,..14..C.9.8B,....23...794,7...5.4.3..C,..2.......68
3.....7.B..4,.BA.6.....71,1.7.....9C6.,..5...2..B4.,..2.436.A..5,A6...9....C.,.1....B...3A,4..A.71C.9..,.38..2...7..,.C32.....1.9,6A.....9.4B.,7..9.5.....C
.........9.4,5...2A...B8.,.1.6....2C.3,..9..C3B.14.,.....7..9..B,8..4..A....2,2....B..5..7,4..C..9.....,.B5.76C..8..,7.65....8.3.,.38...54...6,1.4.........
1C..96.B....,.5..47..A...,...9...C....,.486.19..5..,..C5..A..18.,.32.....6..A,5..A.....61.,.93..4..82..,..7..38.9AB.,....3...7...,...3..19..6.,....7.64..51
2.93.7...AC.,............,5...92C.1.7.,......1.3C.4,C...2A.8.5..,7..B4...69.8,B.21...4A..C,..5.1.76...9,4.C9.8......,.4.7.1A5...3,............,.8B...9.C1.5
4.....5892..,....2....54.,.29..14A7.C.,8.2......1..,..C.6..1.32.,6..BC.......,.......76..3,.46.9..2.7..,..8......4.A,.6.9523..A1.,.A3....6....,..17AB.....4
...C..3....8,9.....62...B,63B5AC...2.4,.C.....9..3.,1.3....42...,A...238...1.,.4...1B7...6,...79....4.2,.B..6.....5.,C.1...46A7B9,4...8B.....C,B....2..5...
83...41.A.7.,.72...8C....,.6..72...8..,..1.5.39...7,..47.A.8.31.,...........A,1...........,.A7.1.4.BC..,6...98.2.7..,..C...95..3.,....23...B5.,.5.9.BA...6C
.784.....2..,.....12.7C.3,2..3..C.8...,..C21.......,..A.7...3..9,..B19.3C..2.,.4..85.1C6..,1..C...7.B..,.......B98..,...7.A..5..C,A.65.31.....,..9.....A36.
5.69.A7.....,83...C..9.B.,.CB.3..8....,..1...6..C..,9....7..1...,.8..C3.42...,...B9.35..1.,...1..2....9,..5..4...7..,....7..9.6A.,.6.C..B...81,.....18.42.5
.5...6.C9.3.,...25..9....,........4..6,..C....3B.9.,9.21..B...6.,..6..2..C37A,6745..A..B..,.C...9..51.8,.2.9B....A..,A..B........,....8..7A...,.9.C6.1...5.
...6...C.2.5,8..42.A....C,.CA.71......,.67..3.2...A,..5..A6..72.,.A..1....9..,..1....B..3.,.9B..63..C..,5...C.8..61.,......18.B9.,1....C.4A..7,4.C.A...1...
.5C.2A.6....,2.9......6..,...75..B1.C.,.C..AB.....5,8.3..4.....2,..1...8.3...,...9.8...1..,3.....6..B.4,4.....1A..9.,.6.C9..35...,..5......C.7,....B.C1.46.
3.AC.6.....1,1......4...3,.45....2B8A.,..C.9..6..4.,A.6...3.....,87...B.51C..,..281.6...7B,.....3...5.4,.3..4..8.6..,.6172....A5.,2...6......C,5.....8.21.6
4....5..8.7.,......4A.13.,3.....8..6.C,.......4..53,6.1..B98C...,2......CA.B.,.8.37......A,...B832..5.7,C5..B.......,B.2..A.....5,.A6.58......,.9.1..7....2
.5..8.......,.B78...A.9.5,1.3.....8.7.,6..2.85..4..,.3...192.76B,.A4..37.5...,...9.B2..A5.,A21.348...9.,..5..A6.7..8,.1.3.....6.7,8.A.2...93B.,.......8..A.
2.5...3.1..B,9.74B1....C2,C....5...84.,..6.1.C.....,..2....B...C,...9...231A.,.9BA2...4...,7...4....2..,.....A.8.5..,.79...1....8,8C....7A24.6,3..B.2...7.5
.3....8..6B.,85...B.923..,.....2.5....,3..7....4..B,.C6...38.A5.,5.A2..4....C,7....9..C4.5,.B5.48...29.,C..4....B..1,....8.5.....,..85B.9...C7,.A3..C....2.
4A....35.7..,..B7..2A54..,..3...7....B,13...5.4.6C.,C.95...7....,..A....B...9,3...8....B..,....7...A3.2,.86.B.5...17,B....7...C..,..13A6..25..,..7.C2....93
B7........C.,.4...C..A...,.C5.1AB.2.47,1.6.4.3...2.,.A4B.8.1....,....9.A..7..,..8..3.B....,....C.6.387.,.3...5.4.9.B,52.C.79A.6B.,...8..C...9.,.B........A3
.A..6..9.5.2,B5...AC.....,......3.9...,3...A....C57,C...5...8.2.,1.6..2.CA...,...39.8..4.1,.2.C...1...8,A8B....4...3,...9.B......,.....8A...7C,5.C.3..7..4.
C.43..9.21B.,1..8...7...9,...A.2....3.,..B.C7.3...1,6917...A....,..34..B.....,.....4..52..,....9...146C,4...A.32.7..,.8....2.A...,2...6...8..5,.49C.5..3B.6
......7..1..,...2...49.C.,.38..5C.B74.,.A.8...C...B,......9.4.1.,12C.6.....9.,.C.....8.A24,.5.A.C......,6...4...5.3.,.7AC.85..3B.,.6.31...C...,..9..3......
......1..B.3,....A.B.5C7.,AB.3..9.8...,BA....75..8.,....1...73.5,..46...C...2,4...2...A6..,5.6B...8....,.9..41....3B,...A.7..C.B4,.7B4.5.9....,3.2..A......
....5..73.B.,..A..4..87.C,2....6......,....13.C42..,.9C......A..,..51B2...8..,..4...61A9..,..1......B6.,..864.39....,......8....A,1.67..A..C..,.A.C3..4....
.623....C..5,.97........B,...1.7..863.,1...6C....8.,..AC.4.3...1,...97B..52..,..3B..712...,2...5.C.47..,.4....69...8,.A97..2.3...,3........94.,4..2....6A5.
.B28....6...,4..5......9.,7.....1..5..,..1..29.C...,98.2B..734..,.5.B8.61....,....21.64.8.,..8A7..52.63,...6.BA..9..,..B..3.....6,.2......7..C,...4....5B2.
7..B...62...,C..2.84..B..,...5...364.1,.7...C..B..3,2...4..1...C,.85.2.......,.......2.53.,1...A..5...4,5..A..7...1.,8.A76...4...,..C..3A.1..9,...49...A..B
..543...A.19,...8.....6.5,.1B....A2.8.,....C....2A.,4.....7.8.5.,5.139.B....6,7....C.598.2,.4.B.6.....A,.5C....2....,.7.6A....39.,B.9.....1...,CA.2...46B..
.9...4......,5..8C.B6...4,4..6.....7B.,7....B8.13.A,...A.75.8.CB,..BC..6..9..,..7..3..C8..,3C.1.89.5...,6.49.5C....1,.A3.....6..8,C...A6.87..9,......2...A.
.2.8.B5A....,5..1...7..63,.9.....3.7..,B........971,78....9.3...,..9.3..62..C,2..9B..5.C..,...B.1....A6,A61........5,..6.4.....2.,41..9...5..7,....5A8.6.4.
....7....1.5,49..B......2,A..3..2.8.C.,..2..1783.A9,..5.4.....B.,.....2....4.,.B....9.....,.5.....1.2..,82.1A36..5..,.8.A.9..1..4,5......A..36,B.C....3....
B4......9...,..38CB.256..,.C.9.731...A,.9..638...2.,....7....5..,.6...C..31..,..C7..4...1.,..4....7....,.3...158..A.,3...B86.7.4.,..6B5.741A..,...4......69
A7....4B...6,B..2.A8..9.3,....9...AC..,.9....B..4..,.3....C.27..,8A.....25...,...95.....42,..4B.8....5.,..5..B....6.,..A7...3....,9.3..CA.4..B,4...81....9A
..9.A.B.....,..2B..63..C9,.8.39.......,C.87...5..14,..B..4..6..3,6.3...2.....,.....A...8.1,B..1..9..2..,92..5...34.A,.......41.9.,54..6C..8B..,.....3.7.6..
2..6........,.1B...39..A7,C....A...B..,..6..1.8B39.,B5..C4...1..,....3..AC...,...29..B....,..5...6C..49,.8172.A..C..,..8...7....C,3C..86...42.,........9..5
......8.9..4,3..7A..9.1..,.1.B.7....63,.2.36...CA..,.6...B.....9,..98..2AB.4.,.A.1C4..39..,C.....6...1.,..34...26.C.,A7....4.1.3.,..1.8..54..C,8..9.1......
..B823...6..,.C......3..5,.92...7....A,.8...A2....1,..6........4,.A975.4...82,83...2.9A45.,4........2..,2....68...9.,7....1...8B.,5..1......C.,..8...BA61..
.3.16....4A7,6....2......,.....8...6B3,C..2.B..6.14,..8.9..1....,.....C42.B5.,.25.B3C.....,....1..A.5..,B4.8..5.1..A,463...8.....,......3....B,9C1....53.7.
.4..7......1,C.3..9..7..8,...72.3B4...,5.......61..,.8.3..1C.5.A,..6.B.5.2C73,371C.B.2.6..,2.5.86..3.1.,..49.......2,...491.65...,6..8..A..2.9,9......5..6.
..........A.,6..A.471.8..,.C9.A6B3...1,.B.......7..,....6.5..4B3,...13C..89..,..29..3CB...,17C..5.2....,..3.......6.,5...4197.38.,..4.2BA.5..C,.A..........
..329....5.8,..19.3A8....,A.....7B.9..,.5....8.97.B,C1.....7.2..,.4.8C...6...,...7...4C.2.,..8.1.....56,9.B5.6....4.,..7.24.....5,....8C9.74..,3.4....A28..
6...3..B..8.,...7.....64.,...31A9.7.2.,.B..5.3....A,893.7.......,.....BC..2.1,1.2..46.....,.......7.AC4,4....1.3..5.,.2.C.6783...,.84.....C...,.6..4..5...8
.9.281...4B.,..36..C..8.A,..4.......3.,....A....B9.,A1..C..9..53,..29.B..6...,...5..6.9C..,16..5..7..24,.38....A....,.C.......2..,5.6..7..C1..,.21...5C8.4.
..B...A6...5,.1.3..B.C7..,9.7.C..126.8,..4......9..,C...6.4....B,32.8B.....6.,.B.....43.C9,5....B.9...6,..8......1..,B.3C9..A.2.1,..21.5..8.9.,A...24...B..
.9B.6.......,A4..7.52...1,.1....C..5.9,........6...,.B3...8...C.,6C1.3...58.A,4.A3...C.98B,.2...4...16.,...B........,2.6..C....9.,9...A6.B..73,.......3.4A.
C8.36..9....,.2.....C.19.,7..6..1...2.,.....94.C7..,.C3....82..1,...A.B.7....,....2.6.A...,8..9A....51.,..A1.57.....,.9...2..7..6,.38.C.....A.,....B..39.8C
6.8...41C..B,3.....5..8..,.CB.6..A.1..,.8..5..9.B3.,..9..1.C..27,.4...3......,......C...1.,1B..8.3..9..,.6A.7..4..C.,..1.A..B.58.,..3..5.....1,9..B18...2.6
..B.79.325..,8..1..46.3..,.3.....1..8A,5.......B.A.,.1.....9C...,6..C..3..17.,.59..A..1..C,...69.....3.,.4.A.......2,47..1.....2.,..C.B4..3..8,..893.7C.6..
3.6..92CB..7,.C....6B2...,....3....C1.,658....2.B7.,.BA7..4...2.,......8..3..,..9..4......,.2...8..C73.,.73.B....284,.81....A....,...46C....A.,2..A937..8.5
15......A967,.94...C....3,..7...9...2.,..C4.23..785,....7.......,.3.6..592...,...A1C..3.4.,.......3....,345..A2.81..,.6...9...5..,9....7...8B.,4A17......96
.C..1A...52.,......4.1.6.,..725..3..4.,6.B....1.7..,73.....B2.8.,.14835......,......58429.,.2.97.....1C,..C.B....8.7,.5..4..6CA..,.4.3.2......,.B2...8A..3.
6.B..9.A..C.,.A4..7....1.,...1B....48.,4.9...A....6,......C8A..1,...A2....73.,.78....4C...,1..B93......,A....C...9.2,.3A....94...,.2....1..8B.,.4..5.B..3.9
.C.......931,5...9..34...,.9.2.......8,..A...B1..7.,8.7..36....2,..13.48..A6.,.65..12.9C..,1....95..7.4,.7..8B...3..,3.......8.A.,...1C..2...9,BA9.......2.
..7.C...28.5,.5..3.91.76.,4...7..5.3.C,...51A......,8193...7....,AB4........2,B........94A,....A...3271,......436...,6.A.4..C...7,.C3.25.9..A.,9.58...A.1..
3....9..C4.8,.7.C......3.,.8..37...B..,1.7.64...A..,.....1.3...4,.B34A.7...89,93...C.6A5B.,6...7.1.....,..5...9A.C.7,..C...45..A.,.1......4.5.,2.43..6....C
..C..6...4..,B.2....C.61.,1.A7B..3....,.8.9C...1...,......17...6,63......4BA.,.76A......85,3...8C......,...2...59.B.,....1..2B3.C,.25.3....9.A,..3...5..7..
1.4.2...C...,..2B5...1.6.,.6...4...7.9,......537...,4...8.7.....,.26....9.C.A,C.9.3....B5.,.....A.7...8,...865......,9.B...1...A.,.A.2...CB1..,...1...4.2.C
.48..9.6C2..,....A......7,.6...24...31,.......94.2.,7.1......9.3,C..2.8...B..,..5...8.9..2,3.A......C.5,.9.15.......,18...A5...6.,A......C....,..3C6.9..17.
4....2.1.7.B,3...B5......,......47A..6,.4..5......3,..9..6...C..,83BA..2.71..,..2C.3..45A7,..8...6..3..,B......5..8.,2..B3A......,......78...4,5.3.4.B....2
2.........C.,...52......3,673.A......9,9.6.8.B12..C,....7..24..B,.2.B5A....1.,.3....67A.2.,7..2B..C....,8..143.9.C.7,C......5.34A,A......67...,.4.........5
..81.....75.,.B..1.7.3...,C.7.8B...2..,....31.C..6.,.938.4.....2,...7..95B...,...92A..4...,5.....C.AB9.,.7..9.B4....,..2...A9.4.7,...4.6.2..B.,.8C.....19..
.A4.3...9..B,.......48...,6.B..A.8.C..,..9.4.......,B..81...3.A.,..2A73....C4,A5....42CB..,.9.4...1A..6,.......5.2..,..8.2.A..7.C,...15.......,7..6...3.98.
...5..2.B...,.97......3.1,B2..6.3A.4..,961..5...7.2,.8.....3..1.,...B2.7....9,2....3.47...,.B..8.....3.,7.3...5..CBA,..4.59.1..A3,1.B......9C.,...3.4..2...
.........4.7,5..A..24....,..345C.6A...,9..2...B4...,B....84.7.6.,C8...5...A9.,.B2...3...49,.C.9.4B....2,...32...5..A,...53.196C..,....C2..1..4,6.C.........
.........6.C,4.A389...2.5,...C5..3A...,..9.C.......,...A..86..1B,5....27A.8C.,.52.ABC....4,BA..65..9...,.......1.5..,...63..9C...,9.7...243B.6,1.3.........
..6..5.....C,....4.9..71.,97.4...3A6..,..A.....93..,..36A.19....,.4.75..8...1,C...8..67.2.,....BC.21A..,..BA.....5..,..293...B.4A,.C7..2.B....,6.....8..1..
.....64B..8.,.B.2.9...57.,5.....2..6..,...C.A.46...,B2A......4..,9..6...5AC1.,.3984...B..1,..1......7A8,...A2.8.4...,..4..B.....C,.17...5.2.9.,.A..349.....
..2.7....14.,..CB......8.,639.B4......,.5..C7.81.3.,3...4.B.7...,.7.....A9..8,C..39.....5.,...6.2.C...3,.B.78.53..9.,......C4.217,.C......45..,.98....2.3..
598.....B46.,...B..1..7..,A..3..4...19,.A.276......,......C29...,7....5A..8.2,4.A..96....5,...C14......,......7A8.4.,83...2..5..A,..6..7..1...,.1BA.....936
B...53....A.,.843...2..C.,C.....6..83.,.......16.8.,...6.45.2.7.,A......9....,....2......A,.6.7.8B.1...,.B.4C.......,.72..1.....9,.3..4...562.,.C....A3...4
A.1.9B743...,.....52A.6..,C..........B,1...A.8.4.5.,.93...B.1A..,...A1....9C6,814....B5...,..B9.7...14.,.C.7.9.1...3,B..........9,..A.B39.....,...1245C.B.A
..5923..C...,A.2.......4.,.6.35.....8A,6....82..5B3,.4..A...8.2.,......C.1.9.,.7.1.C......,.A.5...6..7.,2BC..A7....9,C8.....36.5.,.2.......9.8,...6..8B74..
..4.BC......,2.....5...8A,.....2...47B,..51.6.4....,.A9..17.5C..,8.B42.C.6...,...8.B.12A.7,..26.48..5C.,....C.3.86..,A56...4.....,B9...5.....C,......9B.7..
C.....3..7.4,1.2....BA.9.,6...C..A1...,.B...6C..A..,....5A..34..,A.86..4.9..B,8..9.B..7C.6,..B5..AC....,..6..58...A.,...7A..5...2,.5.27....9.A,3.1..C.....5
.37.8....9.A,2B..9.76....,.9...A.3....,5..B..C.82..,..9.6...B...,76....1.A...,...6.8....31,...A...7.8..,..24.1..5..9,....C.9...8.,....3B.A..C6,A.1....4.52.
7..41...5...,.6.8.A7.3...,3C..5..6..78,.B6..21...C9,..C..B..4.2.,.2..C..7....,....8..A..5.,.5.B..6..1..,A1...53..94.,29..3..C..B4,...C.75.9.A.,...7...1C..5
..8.1...7..B,.31628...5..,A7...3.5.C.8,9.7...1.84.C,..6....C....,...B498.....,.....C5AB...,....9....1..,7.B2.1...8.A,4.2.C.A...56,..9...72CB8.,5..7...9.A..
...5.2..3..8,.A..C.91....,C.21.4.35...,.7..5.3...C.,83.......B.6,..5A.B..7...,...6..4.B1..,5.4.......73,.2...8.7..4.,...86.5.97.B,....2A.B..6.,3..B..C.4...
5.2C...84...,.7....2.1...,1..B.....32.,.1B.95..C...,A.9.12......,...84B..9.6.,.C.3..518...,......49.C.6,...2..BA.49.,.B3.....5..7,...7.8....4.,...53...28.B
.C4...A9...6,7...65...48.,........5.C.,C...2...86.1,.7.14..5..B.,...21B..9C..,..C4..86A...,.8..3..1B.6.,3.67...4...9,.A.B........,.53...42...8,4...CA...52.
.9.....B6..7,21.....6.8B.,..B..C.....2,......6A....,5..6...38..C,1....2B.A6.9,A.69.41....8,3..52...9..B,....6A......,B.....A..2..,.24.9.....56,6..74.....1.
.7B1.8......,.......13.B.,43.5...B.C.8,.5C..96..2.7,...6A.....5.,..A....719.6,A.682....4..,.2.....3B...,C.3..B7..56.,3.1.9...7.4C,.C.97.......,......1.569.
.6.7......9.,..2A...3.B..,..9..A....15,.9.B7..5348.,....1.2...A.,A...B.461...,...196.B...4,.4...7.A....,.BC65..29.7.,B5....C..2..,..A.3...61..,.C......4.5.
...82....9..,.1C.B75.86..,4.A....C....,...4......B2,..7.4...9...,.2..9..7A48.,.A63C..9..5.,...B...4.C..,58......6...,....6....B.4,..91.473.8C.,..8....17...
..81..9.2...,.4..B..78A..,...2.....5C.,..6....4A..9,B.7...59...1,...8...6.2B.,.2C.7...3...,5...2A...C.7,9..7C....1..,.52.....B...,..34A..5..2.,...6.8..54..
.B.8A......3,3A.5.....92.,4.97..2.5...,..6.7..AB.5.,..A..B.6..49,B....C....7A,6C....1....8,84..2.C..5..,.2.B6..8.4..,...C.3..4A.5,.84.....3.1B,7......12.9.
......C92..B,.C4..8..A3..,....3.A..89.,4B........6.,8..1....59.4,..5...7A8.1.,.1.C82...B..,B.8A....1..2,.7........89,.86..7.C....,..C7..8..15.,A..321......
..A6...58.2.,...B3.....9.,3..9..A8.C.B,B.C....2....,.5...C....4A,..8.4.13.B.2,2.9.76.1.8..,5B....3...A.,....A....1.4,7.6.B4..2..3,.9.....6B...,.3.C2...65..
......B.9.7.,..4..CA3..6.,.2.C1....5.3,.B.7.9..5...,5..2....B7..,.3185.7.....,.....4.A165.,..54....8..9,...9..8.3.2.,4.9....27.C.,.5..379..2..,.8.6.B......
2...65...8C.,.....C12.6.B,.C6.....9.23,..36.8.1.C..,C......A..5.,72....9...B.,.A...2....18,.1..8......A,..2.1.A.C7..,98.A.....54.,1.4.937.....,.BC...28...1
...A3.29....,...1.BC4..6.,B....6.8.39.,59...3......,.A......5...,.B.6..8A34C.,.1748C..9.2.,...9......1.,......4...3A,.21.5.3....C,.5..9A1.8...,....28.7A...
..6.52B.841.,....9....3..,.1...C.8..A.,A....3...147,3B...91...5.,4.....8.2...,...A.6.....1,.7...A3...B2,53C...9....A,.6..1.2...C.,..5....4....,.23B.769.5..
.8B.6....9.A,692.1..8.5B.,...5....6...,..7.9A5..4..,B.8.4......7,.5..7...2C..,..CB...2..3.,4......1.B.5,..3..C46.7..,...C....B...,.B1.5..4.A89,A.5....9.6C.
...46..1...5,.B.....5.1.6,.1....82349C,......B.9.1.,2C.......5.4,.73..4...62.,.61...2..94.,3.5.......A2,.4.C.1......,6A821C....5.,B.4.A.....C.,C...7..6A...
B9...7.C8...,.1...B3A.457,....1.....2.,...C...9...2,...84....1.A,1..5.683....,....31B.4..8,8.2....51...,3...6...B...,.A.....1....,684.A59...7.,...1B.7...85
.3......8.A.,6.C.973..1..,.8..1...367.,....C.1.7...,1......36..5,.B.76A......,......C92.3.,5..C8......A,...1.B.6....,.A94...2..5.,..2..854.3.6,.6.5......B.
.A3.....7...,..7.CA.198.B,......7B...1,...C.76.B...,.36......1.C,..4518..2.7.,.7.A..93CB..,5.8......79.,...3.62.5...,3...71......,C.1B6.A2.9..,...7.....2C.
.1.5..9.C84.,.B.A1.7.6..9,..8........2,2...9.375...,.....A....2.,....C2B.A1..,..79.186....,.4....2.....,...84B.3...6,A........C..,9..C.6.AB.3.,.856.9..7.1.
...5......CA,..9A...3.6..,4.16.A..398.,...1..A....8,.B..7..8..36,....64.B.5..,..3.C.89....,A1..2..7..5.,6....B..8...,.CA3..5.28.7,..7.1...BC..,14......6...
..B729.6...1,83...1.....C,.....C..A.47,B......23..9,34.2.....1..,...C...948..,..514...B...,..A.....8.C3,C..BA......2,12.8..C.....,9.....1...38,A...7.4892..
.8....B9..27,6.......C3..,3.2.5.C7.A..,..5..6.1..C.,......52B...,..16..3...7.,.9...8..A7..,...8CB......,.5..2.A..4..,..6.7C.3.5.2,..A2.......8,74..A5....6.
7..1...458..,.6.......C.1,....381..6..,.2.C.5..39..,.A..1.9C.5.6,....7...A.2.,.1.6...3....,A.C.69.8..4.,..94..5.C.6.,..3..A7B....,5.7.......9.,..1A8...B..5
.2..3.C8..6.,6.......C...,..8.B62.91..,3....58.....,...A4.....9.,4B6C..9...8.,.7...C..25A3,.5.....41...,.....97....4,..12.836.C..,...7.......6,.A..52.7..4.
...1..5B.9.2,A.2.C6..4..B,....A2....5.,..B..3....AC,8...1.B.3.26,.C.27A......,......8A6.B.,B8.C.9.6...1,56....7..2..,.1....A8....,7..3..C5.A.9,C.5.91..2...
8...B9.....C,..C..8....39,..4.A..C8.1.,.2.A514..8..,.......9....,...86....195,CB2....64...,....C.......,..3..427B.8.,.3.C4..A.5..,27....1..4..,6.....53...B
.C.....2.1.9,.62...97.C..,...98.A....5,...C.1...2..,5.4.2....3C.,B39.........,.........536,.B5....A.8.4,..3...1.B...,4....5.68...,..1.B3...46.,7.B.9.....2.
...8..27.B..,..9.....4.1.,A...59...8..,.5....79....,.9..6..2C.B7,.4A..8...196,3A2...5..98.,7B.59..1..4.,....43....5.,..5...46...A,.7.3.....6..,..6.CB..5...
6.4....1..8.,C..2A...5.9.,.9...6.....C,...9..1..3.8,..3A2....4..,51.6.C.4....,....7.A.1.54,..2....37B..,4.7..1..3...,B.....5...C.,.C.8...BA..2,.2..C....6.1
.4.1......B.,C....B.7.1.3,...3.156.4A.,..4.A....36.,.7.6...8....,539........7,A........279,....3...6.5.,.87....9.B..,.A3.548.2...,6.5.2.B....1,.2......C.4.
...B851....2,3........6..,.4..9..6.3..,7C1..2....4B,.9..5....768,58.A........,........3.A4,874....5..C.,9A....2..B76,..6.3..1..2.,..7........3,A....C6B9...
...4......B5,1.B8.7..3...,5...6.1B27..,....82.6..9.,...9....165.,.2.6.....8.3,6.3.....A.4.,.457....9...,.9..B.4C....,..7A1C.4...9,...1..2.54.C,BC......7...
7.4.8.....2.,1.A5.B.4....,.....7.54.C.,.69.A...7...,.8...4....9B,...23.5...64,45...8.72...,8A....C...B.,...6...9.C8.,.4.B5.7.....,....4.B.32.9,.3.....C.B.8
.A.4.....5.1,B..6.5....73,.....7.62.48,2.9....358..,....19B...3.,.....8.5B6..,..5AC.3.....,.7...6A8....,..C89....4.B,19.35.7.....,5B....2.1..6,A.7.....4.5.
38125......7,B.6A..47..3.,......B...1.,9..6.B.3.A5.,A4.C..6.37..,...3.5......,......1.5...,..CB.7..1.A6,.34.C.A.7..9,.B...9......,.9..74..CB.3,C......A9541
B.6...258...,.389....A5..,...1.8...632,..9..1.6....,........B.58,.B3...7A...9,8...72...94.,97.6........,....6.8..7..,617...A.5...,..B5....637.,...3C6...4.1
B3....6...2.,5..A.C1.B.9.,..9.2...4...,.....1.B.9..,.64C.3...7.B,.5.......86.,.85.......C.,3.C...8.241.,..A.4.2.....,...7...3.5..,.B.2.94.6..7,.9...8....B4
..B.18.....3,3.4..A...75.,.C....5.1..B,A......4..B.,.4....7A5...,..69.5B.7.A.,.8.6.14.AC..,...A2C....3.,.9..7......5,B..4.2....1.,.19...3..B.8,6.....17.2..
B.C9.6A....3,....4.7.B...,.A8.B.3..97.,.5......AC..,62........14,...A1.B..68.,.B3..9.41...,49........68,..A2......B.,.3B..5.8.14.,...C.A.7....,A....B1.37.C
...6.3..58.7,...95.......,.A...981.2.B,3...B...A61.,..9..81....2,8..C..2.3.4.,.8.7.1..9..6,9....45..7..,.542...B...3,4.A.123...B.,.......A4...,7.53..4.2...
..4..C.8....,BC....4....5,...6.59.7...,4.B.......52,....2.8.9.A.,.2A87..4.C.3,8.C.9..AB72.,.9.5.1.B....,1B.......8.9,...B.86.2...,C....2....9A,....C.A..B..
.4.8.....7..,...6..98..1.,..57.C...386,C......B34.9,.....91...C5,9...8..3.A..,..8.9..7...C,7C...15.....,6.3BC......1,139...B.26..,.6..57..4...,..7.....9.A.
8.5..46...3.,.2.1...3.5.B,.97....12...,...81..A..C.,.7C...5..2.1,..B982......,......85BC..,5.9..6...8A.,.8..3..94...,...B5....12.,9.8.B...C.4.,.1...CA..B.6
.8..29..C...,7..1....6..A,.5.37A6.91..,..5.B......4,9.3..87..B.1,......C.3.72,BC.2.7......,5.4..31..8.7,3......5.A..,..94.527A.8.,2..A....7..5,...5..34..B.
......B.9..4,...8.2.6.1..,13.....A2C.6,.7.....3....,2...B...859.,..1C75...A..,..4...1B63..,.68A...4...B,....A.....7.,C.B96.....15,..3.8.4.B...,5..7.B......
5..7.3B....8,.C....A...51,.26....14.7.,.......BC..9,...5.C.3.4..,...A.6..27.3,9.A1..2.5...,..4.A.1.6...,2..B3.......,.7.26....B4.,84...1....A.,3....48.7..5
..B..423....,..1..C8.6...,92.8...6.1.A,...A......3.,C6...3.....7,...3C..7.2A.,.86.B..95...,7.....4...B6,.B......C...,6.9.7...1.45,...B.2C..7..,....391..A..
A8...C5.9.1.,...52.1.86B.,..3.B..A7.C.,.9.........7,6..A...5189B,5.1.........,.........7.6,C5861...B..4,B.........5.,.A.86..2.B..,.C53.1.76...,.6.2.38...A1
6....BCA.2..,...9.8.....C,7..29..5..B8,..7..5...B1.,....B.....4.,.B.6....2.59,57.3....9.6.,.2.....4....,.1C...6..7..,C3..1..85..2,1.....9.B...,..8.3C2....6
